Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     32/1    0.000    0.000  111.181  111.181 {built-in method builtins.exec}
        1    0.000    0.000  111.181  111.181 <string>:1(<module>)
        1    0.000    0.000  111.181  111.181 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/predictCam.py:65(process)
        1    0.004    0.004  110.744  110.744 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/__init__.py:214(spin)
      982    0.002    0.000  110.734    0.113 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:807(spin_once)
      982    0.004    0.000  110.732    0.113 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:792(_spin_once_impl)
      981    0.005    0.000   84.699    0.086 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:235(__call__)
      981    0.006    0.000   84.691    0.086 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:269(_execute_coroutine_step)
      981    0.004    0.000   84.674    0.086 {method 'send' of 'coroutine' objects}
      981    0.012    0.000   84.669    0.086 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:468(handler)
      981    0.003    0.000   83.210    0.085 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:405(_execute_subscription)
      981    0.009    0.000   83.207    0.085 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:103(await_or_execute)
      981    0.092    0.000   83.189    0.085 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/predictCam.py:34(listener_callback)
      981    0.094    0.000   79.419    0.081 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/predict.py:36(predict_img)
      981   53.410    0.054   53.410    0.054 {method 'cpu' of 'torch._C.TensorBase' objects}
      982    0.005    0.000   26.029    0.027 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:762(wait_for_ready_callbacks)
     2023    0.017    0.000   26.023    0.013 {built-in method builtins.next}
